"E-Invoicing","E-Rechnung"
"Buyer Reference","Käuferreferenz"
"Company Registration","Handelsregisternummer"
"Buyer routing identifier for electronic invoicing (e.g., Leitweg-ID for German public sector, cost center, etc.) - EN16931 BT-10","Routing-Kennung für elektronische Rechnungen (z.B. Leitweg-ID für deutsche Behörden, Kostenstelle, etc.) - EN16931 BT-10"
"Legal registration identifier (e.g., HRB number, SIREN, etc.) - EN16931 BT-47","Handelsregisternummer (z.B. HRB-Nummer, SIREN, etc.) - EN16931 BT-47"
"Buyer routing identifier (Leitweg-ID, cost center, etc.) (BT-10)","Routing-Kennung des Käufers (Leitweg-ID, Kostenstelle, etc.) (BT-10)"
"Legal registration identifier (HRB, SIREN, etc.) (BT-47)","Handelsregisternummer (HRB, SIREN, etc.) (BT-47)"
"Electronic invoicing data with ID ""%1"" does not exist.","E-Rechnungsdaten mit ID ""%1"" existieren nicht."
"Could not save electronic invoicing data: %1","E-Rechnungsdaten konnten nicht gespeichert werden: %1"
"Could not delete electronic invoicing data: %1","E-Rechnungsdaten konnten nicht gelöscht werden: %1"
"E-Invoicing Information","E-Rechnungs-Informationen"
"For German public sector invoicing, enter your Leitweg-ID","Für deutsche Behördenrechnungen geben Sie hier Ihre Leitweg-ID ein"
"Your company registration number (e.g., HRB 12345, SIREN)","Ihre Handelsregisternummer (z.B. HRB 12345, SIREN)"
"Project Reference","Projektreferenz"
"Optional project or contract reference for the invoice","Optionale Projekt- oder Vertragsreferenz für die Rechnung"
"Buyer Reference (BT-10)","Käuferreferenz (BT-10)"
"Project Reference (BT-11)","Projektreferenz (BT-11)"
